recurrence_order,tap_value,reflected_value,matrix_order,global_antiperiod_h,gcd_matrix_with_order,gcd_matrix_with_value,gcd_matrix_with_order_plus_value,v2_matrix_order,k_divides_matrix_order,v_divides_matrix_order,k_plus_v_divides_matrix_order
89,1,88,840662717294092438860223258048805005100,,1,1,10,2,False,True,False
89,2,87,48289144569666813135399620940652197795568,,1,2,13,4,False,True,False
89,3,86,5843179009911668307733637758035568240,,1,1,92,4,False,False,True
89,4,85,242431115044429704680552810041753150901526,,1,2,3,1,False,False,False
89,5,84,1539675294035348874343079453060948200,,1,5,2,3,False,True,False
89,6,83,207523596497741676335780827129762149831752,,1,2,1,3,False,False,False
89,7,82,1490405696594654716836192076511884095880,,1,7,8,3,False,True,False
89,8,81,425663283507334182501541990640,,1,8,1,4,False,True,False
89,9,80,290932118936257028528283279357264466661344,,1,1,2,5,False,False,False
89,10,79,60601620059881828513070783027959304472480,,1,10,3,5,False,True,False
89,11,78,12724589305421858382142717024616200,,1,11,100,3,False,True,True
89,12,77,969773729787523602876821942164080815560160,,89,4,1,5,True,False,False
89,13,76,1454660594681285404315232913246121223340241,,1,1,1,0,False,False,False
89,14,75,51880606255241333722502401406555895207656,,1,2,1,3,False,False,False
89,15,74,1293031639716698137169095922885441087413544,,1,1,104,3,False,False,True
89,16,73,5509984696481941571296137222846500780640,,1,16,105,5,False,True,True
89,17,72,94189367693979959871604137648650529524,,1,1,2,2,False,False,False
89,18,71,742201418385581667296229861765560210,,1,2,1,1,False,False,False
89,19,70,45395017561671600825064481003087108389784,,1,1,4,3,False,False,False
89,20,69,18649493503296573381353069366796150387704,,1,4,1,3,False,False,False
89,21,68,41568885610752313677751434074534951360,,1,1,10,6,False,False,False
89,22,67,53876318321529089047180464272385538946640,,1,2,3,4,False,False,False
89,23,66,16696923322711962815573181659595740744,,1,1,8,3,False,False,False
89,24,65,4662373700455814555031410318498719642694,,1,2,1,1,False,False,False
89,25,64,1454660594681285404315232913246121223340241,,1,1,1,0,False,False,False
89,26,63,241445722848333674841367588289152056051920,,1,2,5,4,False,False,False
89,27,62,175071346839451990440009968711364231661840,,1,1,4,4,False,False,False
89,28,61,241444359880161596916770007543180660734454,,1,2,3,1,False,False,False
89,29,60,363498863737230211915077634700048124624986,,1,1,2,1,False,False,False
89,30,59,841817473773891562091309807401355818040,,1,10,119,3,False,False,True
89,31,58,4492216317934557645633200,,1,1,40,4,False,False,False
89,32,57,8439267626712056961145161710527082930,,1,2,1,1,False,False,False
89,33,56,1400784276359756315266520583125894511364664,,1,1,2,3,False,False,False
89,34,55,280176614059778284118698854057458397480,,1,2,123,3,False,False,True
89,35,54,727330297332916913561958303532556915424532,,1,7,4,2,False,False,False
89,36,53,242443432444302103642192731728072255522960,,1,4,5,4,False,False,False
89,37,52,1995419181642092773450817156825789045768,,1,1,14,3,False,False,False
89,38,51,259020761160280427098432005789765251240,,1,2,1,3,False,False,False
89,39,50,918346313691268462775280386554370243360,,1,1,32,5,False,False,False
89,40,49,24668643856439969929883504803837948932,,1,4,3,2,False,False,False
89,41,48,5632057495136343219064153521039920,,1,1,130,4,False,False,True
89,42,47,124713620593254333510570368520611716100,,1,2,1,2,False,False,False
89,43,46,33927066348628687217499216004921760,,1,1,44,5,False,False,False
89,44,45,17958772773843000608035608211209027321464,,1,4,133,3,False,False,True
89,45,44,727330297340642701619192628141241751844412,,1,1,2,2,False,False,False
89,46,43,53802413906821916087054288515123520325672,,1,2,3,3,False,False,False
89,47,42,284668856649851407868012108545627091624,,1,1,8,3,False,False,False
89,48,41,300814180751319241196916941600,,1,16,1,5,False,False,False
89,49,40,181831547884956409098708738202215198226400,,1,1,46,5,False,False,False
89,50,39,242442976244214857681515665826674588303920,,1,10,1,4,False,False,False
89,51,38,1454660594542221209593386157617473105047760,,1,1,20,4,False,False,False
89,52,37,59780459896468795652282542794581689241040,,1,52,3,4,False,True,False
89,53,36,37964501346746861541715065168319520,,1,1,2,5,False,False,False
89,54,35,6734425740168439876518581324279722956760,,1,2,11,3,False,False,False
89,55,34,2061034376292377693791027337349827360,,1,55,16,5,False,True,False
89,56,33,498854799273417490822322889662980293062,,1,2,1,1,False,False,False
89,57,32,751357255701603428899659668782356073898,,1,1,2,1,False,False,False
89,58,31,1120371075942279740362247751178173522240,,1,2,21,6,False,False,False
89,59,30,6498564562969387293249003499360,,1,1,4,5,False,False,False
89,60,29,8979369490621856137071246139926879116920,,1,20,1,3,False,False,False
89,61,28,29683921931723147028868332748904220880,,1,61,10,4,False,True,False
89,62,27,215505258267183326235399712587474902689352,,1,2,1,3,False,False,False
89,63,26,321927630187461592812166558066821728364872,,1,1,8,3,False,False,False
89,64,25,95380106119198932341938853676,,1,4,3,2,False,False,False
89,65,24,145458669026657823135357487164101803168160,,1,65,22,5,False,True,False
89,66,23,844810213926921853265983155606688,,1,2,1,5,False,False,False
89,67,22,230240660541862528029273197208840462721,,1,1,13,0,False,False,False
89,68,21,969773729787523602876821942164080815560160,,89,4,1,5,True,False,False
89,69,20,790742360238398641589359135200473344,,1,23,2,8,False,False,False
89,70,19,40232349185131615472394481320,,1,70,3,3,False,True,False
89,71,18,505013500499015227902203064152529716120,,1,71,40,3,False,True,False
89,72,17,969773729787523602876821942164080815560160,,89,8,23,5,True,False,False
89,73,16,6153880047176963920,,1,73,2,4,False,True,False
89,74,15,74828218152710189655682679808945173920,,1,2,1,5,False,False,False
89,75,14,12830627549239985708350756224395800,,1,25,4,3,False,False,False
89,76,13,93406968507829124498753548940085432960,,1,4,15,7,False,False,False
89,77,12,1436701821907442374632328803206045652681680,,1,11,2,4,False,False,False
89,78,11,215505273285862009245198023258126504084168,,1,2,1,3,False,False,False
89,79,10,24734925972064986444631097593731281768,,1,1,8,3,False,False,False
89,80,9,242443432444273844305805529816787302469592,,1,8,13,3,False,False,False
89,81,8,1454660594542221209593386157617473105047760,,1,1,10,4,False,False,False
89,82,7,2002748420960712984859469151600918559974,,1,2,3,1,False,False,False
89,83,6,1454660593429707651818612112588334649166584,,1,1,4,3,False,False,False
89,84,5,29683921940236412696563429510860537760,,1,4,1,5,False,False,False
89,85,4,700071885716147074799408777940833425189994,,1,1,2,1,False,False,False
